trade_date,period,regime,market_gate,raw_candidates,entry_pass_top10,entry_pass_top20
2013-11-21,pre,CRASH,False,5,0,0
2013-11-22,pre,SIDEWAYS,False,1,0,0
2013-11-25,pre,SIDEWAYS,False,2,0,0
2013-11-26,pre,SIDEWAYS,False,3,0,0
2013-11-27,pre,SIDEWAYS,False,3,0,0
2013-11-28,pre,BULL,True,4,0,0
2013-11-29,pre,BULL,True,2,0,0
2013-12-02,pre,BULL,True,3,0,0
2013-12-03,pre,CRASH,False,7,0,0
2013-12-04,pre,CRASH,False,5,0,0
2013-12-05,pre,CRASH,False,5,0,0
2013-12-06,pre,CRASH,False,4,1,1
2013-12-09,pre,CRASH,False,4,0,0
2013-12-10,pre,CRASH,False,3,0,0
2013-12-11,pre,CRASH,False,2,0,0
2013-12-12,pre,CRASH,False,2,0,0
2013-12-13,pre,CRASH,False,5,0,0
2013-12-16,pre,CRASH,False,1,0,0
2013-12-17,pre,CRASH,False,2,0,0
2013-12-18,pre,CRASH,False,3,0,0
2013-12-19,pre,CRASH,False,4,0,0
2013-12-20,pre,CRASH,False,1,0,0
2013-12-23,pre,CRASH,False,3,0,0
2013-12-24,pre,CRASH,False,1,0,0
2013-12-26,pre,CRASH,False,1,0,0
2013-12-27,pre,CRASH,False,0,0,0
2013-12-30,pre,BULL,True,1,0,0
2014-01-02,pre,CRASH,False,2,0,0
2014-01-03,pre,CRASH,False,1,0,0
2014-01-06,pre,CRASH,False,2,0,0
2014-01-07,pre,CRASH,False,3,0,0
2014-01-08,pre,CRASH,False,2,0,0
2014-01-09,pre,BEAR,False,1,0,0
2014-01-10,pre,BEAR,False,1,0,0
2014-01-13,pre,BEAR,False,5,0,0
2014-01-14,pre,BEAR,False,2,1,1
2014-01-15,pre,BEAR,False,4,0,0
2014-01-16,pre,BEAR,False,4,0,0
2014-01-17,pre,BEAR,False,6,0,0
2014-01-20,pre,BEAR,False,7,1,1
2014-01-21,pre,BEAR,False,7,0,0
2014-01-22,pre,BULL,True,5,0,0
2014-01-23,pre,BEAR,False,4,0,0
2014-01-24,pre,BEAR,False,5,1,1
2014-01-27,pre,CRASH,False,5,0,0
2014-01-28,pre,BEAR,False,2,0,0
2014-01-29,pre,BEAR,False,6,0,0
2014-02-03,pre,BEAR,False,4,0,0
2014-02-04,pre,BEAR,False,7,0,0
2014-02-05,pre,CRASH,False,2,0,0
2014-02-06,pre,BEAR,False,3,0,0
2014-02-07,pre,BEAR,False,1,0,0
2014-02-10,pre,BEAR,False,6,0,0
2014-02-11,pre,BEAR,False,6,0,0
2014-02-12,pre,BULL,True,4,0,0
2014-02-13,pre,BEAR,False,0,0,0
2014-02-14,pre,BULL,True,4,0,0
2014-02-17,pre,BULL,True,7,0,0
2014-02-18,pre,BULL,True,5,0,0
2014-02-19,pre,BULL,True,14,0,0
2014-02-20,pre,BULL,True,6,1,1
2014-02-21,pre,BULL,True,8,0,0
2014-02-24,pre,BULL,True,5,0,0
2014-02-25,pre,BULL,True,8,1,1
2014-02-26,pre,BULL,True,3,0,0
2014-02-27,pre,BULL,True,7,0,0
2014-02-28,pre,BULL,True,9,0,0
2014-03-03,pre,BULL,True,8,0,0
2014-03-04,pre,BULL,True,10,0,0
2014-03-05,pre,BULL,True,12,0,0
2014-03-06,pre,BULL,True,14,1,1
2014-03-07,pre,BULL,True,10,0,0
2014-03-10,pre,BEAR,False,10,1,1
2014-03-11,pre,BULL,True,11,0,0
2014-03-12,pre,BEAR,False,9,0,0
2014-03-13,pre,BEAR,False,14,0,0
2014-03-14,pre,BEAR,False,7,0,0
2014-03-17,pre,BEAR,False,19,0,0
2014-03-18,pre,BEAR,False,18,0,0
2014-03-19,pre,BEAR,False,12,0,0
2014-03-20,pre,BEAR,False,14,0,0
2014-03-21,pre,BEAR,False,15,1,1
2014-03-24,pre,BEAR,False,10,0,0
2014-03-25,pre,BEAR,False,8,0,0
2014-03-26,pre,BULL,True,8,0,0
2014-03-27,pre,BULL,True,6,0,0
2014-03-28,pre,BULL,True,13,0,0
2014-03-31,pre,SIDEWAYS,False,9,0,0
2014-04-01,pre,BULL,True,12,0,0
2014-04-02,pre,BULL,True,13,0,0
2014-04-03,pre,BULL,True,6,0,0
2014-04-04,pre,BULL,True,10,0,0
2014-04-07,pre,BULL,True,6,0,0
2014-04-08,pre,BULL,True,14,0,0
2014-04-09,pre,BULL,True,10,0,0
2014-04-10,pre,BULL,True,2,0,0
2014-04-11,pre,BULL,True,11,0,0
2014-04-14,pre,BULL,True,11,0,0
2014-04-15,pre,BULL,True,10,0,0
2014-04-16,pre,BULL,True,9,0,0
2014-04-17,pre,BULL,True,7,0,0
2014-04-18,pre,BULL,True,6,1,1
2014-04-21,pre,BULL,True,6,0,0
2014-04-22,pre,BULL,True,16,0,0
2014-04-23,pre,BULL,True,4,0,0
2014-04-24,pre,BULL,True,11,1,1
2014-04-25,pre,SIDEWAYS,False,5,0,0
2014-04-28,pre,SIDEWAYS,False,5,0,0
2014-04-29,pre,SIDEWAYS,False,8,0,0
2014-04-30,pre,BEAR,False,4,0,0
2014-05-02,pre,BEAR,False,7,0,0
2014-05-07,pre,BEAR,False,7,0,0
2014-05-08,pre,BEAR,False,8,0,0
2014-05-09,pre,BEAR,False,2,0,0
2014-05-12,pre,BEAR,False,6,0,0
2014-05-13,pre,SIDEWAYS,False,8,0,0
2014-05-14,pre,BULL,True,1,0,0
2014-05-15,pre,BULL,True,9,0,0
2014-05-16,pre,SIDEWAYS,False,7,0,0
2014-05-19,pre,SIDEWAYS,False,3,0,0
2014-05-20,pre,SIDEWAYS,False,6,0,0
2014-05-21,pre,SIDEWAYS,False,4,1,1
2014-05-22,pre,SIDEWAYS,False,6,0,0
2014-05-23,pre,SIDEWAYS,False,8,0,0
2014-05-26,pre,SIDEWAYS,False,8,0,0
