period,regime,trade_date,rank_on_day,raw_count_on_day,asset_code,asset_name,close_price,score,range20,ret60,ret20,ma60_dist,candle_loc,upper_shadow,body_ret,vol_exp,trade_amount,close_3d,max_3d,min_3d,close_5d,max_5d,min_5d,close_10d,max_10d,min_10d,close_20d,max_20d,min_20d,close_40d,max_40d,min_40d,close_60d,max_60d,min_60d,winner_20,winner_50,early_loser,failed_20
train,BULL,2022-08-18,6,7,003670,포스코케미칼,161500.0,0.8172397903571456,0.32507739938080493,0.20973782771535582,0.3686440677966102,0.2824245632609847,1.0,0.0,0.028662420382165606,0.5920488985361597,86046715500.0,-0.015479876160990669,0.006191950464396356,-0.049535603715170295,0.030959752321981338,0.04643962848297223,-0.049535603715170295,0.009287925696594534,0.06811145510835903,-0.049535603715170295,0.09907120743034059,0.16718266253869962,-0.049535603715170295,0.17337461300309598,0.2074303405572755,-0.08978328173374617,0.39628482972136214,0.47987616099071206,-0.08978328173374617,False,False,False,False
train,BULL,2022-08-18,7,7,099220,SDN,2925.0,0.7760791755528649,0.3076923076923077,0.38954869358669836,0.13152804642166344,0.07883817427385892,0.46875,0.0625,-0.025,0.13112686802881748,5314745475.0,-0.013675213675213627,0.018803418803418737,-0.05982905982905984,-0.008547008547008517,0.022222222222222143,-0.05982905982905984,-0.042735042735042694,0.03589743589743599,-0.05982905982905984,-0.1316239316239316,0.03589743589743599,-0.135042735042735,-0.2957264957264957,0.03589743589743599,-0.36239316239316244,-0.24786324786324787,0.03589743589743599,-0.36239316239316244,False,False,False,True
train,SIDEWAYS,2022-08-19,1,3,054180,메디콕스,10200.0,14.806136174380015,0.403921568627451,12.691275167785236,0.6776315789473685,1.710939437967327,0.9390243902439024,0.06097560975609756,0.08050847457627118,0.565271081893162,4337805000.0,-0.06960784313725488,0.014705882352941124,-0.11372549019607847,-0.021568627450980427,0.014705882352941124,-0.11372549019607847,0.32352941176470584,0.36764705882352944,-0.11372549019607847,0.009803921568627416,0.4656862745098038,-0.11372549019607847,0.0980392156862746,0.4656862745098038,-0.19509803921568625,-0.5975490196078431,0.4656862745098038,-0.5990196078431372,True,False,True,False
train,SIDEWAYS,2022-08-19,2,3,227610,아우딘퓨쳐스,2070.0,1.2945761181674356,0.41545893719806765,0.550561797752809,0.3485342019543974,0.32855538321655886,0.5172413793103449,0.0,-0.03271028037383177,0.6405514995793279,715888800.0,0.15217391304347827,0.16908212560386482,-0.02898550724637683,0.2439613526570048,0.3381642512077294,-0.02898550724637683,0.15217391304347827,0.3381642512077294,-0.02898550724637683,0.1787439613526569,0.3381642512077294,-0.02898550724637683,0.0531400966183575,0.3381642512077294,-0.02898550724637683,0.2657004830917875,0.5096618357487923,-0.02898550724637683,True,True,False,False
train,SIDEWAYS,2022-08-19,3,3,038010,제일테크노스,9050.0,0.8366365359109348,0.34917127071823206,0.2163978494623656,0.37329286798179057,0.2710674157303371,0.627906976744186,0.0,-0.01737242128121607,1.3161765766115012,5039094300.0,0.027624309392265234,0.03646408839779003,-0.06187845303867401,0.02541436464088398,0.1049723756906078,-0.06187845303867401,-0.04972375690607733,0.1049723756906078,-0.06187845303867401,-0.10828729281767957,0.1049723756906078,-0.14364640883977897,-0.23867403314917124,0.1049723756906078,-0.30939226519337015,-0.10055248618784529,0.1049723756906078,-0.30939226519337015,False,False,False,False
train,SIDEWAYS,2022-08-22,1,1,009835,한화솔루션우,46500.0,0.7591306954440454,0.44731182795698926,0.2550607287449393,0.3135593220338983,0.05675813874211692,0.45,0.0,-0.011689691817215728,0.10062459370395438,769435500.0,0.05591397849462365,0.1268817204301076,-0.009677419354838679,0.07741935483870965,0.1268817204301076,-0.009677419354838679,0.01505376344086029,0.1268817204301076,-0.009677419354838679,-0.03870967741935483,0.1268817204301076,-0.04623655913978497,-0.1537634408602151,0.1268817204301076,-0.22258064516129028,-0.15806451612903227,0.1268817204301076,-0.22258064516129028,False,False,False,False
train,CRASH,2022-08-23,1,6,054180,메디콕스,9680.0,13.327079395475945,0.38739669421487605,11.555123216601816,0.4426229508196721,1.384559484659252,0.7901234567901234,0.06172839506172839,-0.012244897959183673,0.48531260126792586,2800075520.0,0.030991735537190035,0.04338842975206614,-0.04958677685950408,0.1725206611570247,0.22417355371900816,-0.04958677685950408,0.4049586776859504,0.44111570247933884,-0.04958677685950408,0.05371900826446274,0.5444214876033058,-0.04958677685950408,-0.011363636363636354,0.5444214876033058,-0.15185950413223137,-0.5883264462809917,0.5444214876033058,-0.5929752066115703,True,True,False,False
train,CRASH,2022-08-23,2,6,001570,금양,10350.0,2.2892180987855655,0.41642512077294686,1.2923588039867109,0.4435146443514644,0.580434174025908,1.0,0.0,0.029850746268656716,0.08230679311273481,12601953000.0,0.08212560386473422,0.106280193236715,-0.01449275362318836,0.1497584541062802,0.1594202898550725,-0.01449275362318836,0.4347826086956521,0.5120772946859904,-0.01449275362318836,0.9178743961352658,1.0869565217391304,-0.01449275362318836,0.8840579710144927,1.0869565217391304,-0.01449275362318836,2.1594202898550723,3.0096618357487923,-0.01449275362318836,True,True,False,False
train,CRASH,2022-08-23,3,6,214870,뉴지랩파마,14100.0,1.165129274081155,0.36879432624113473,0.47643979057591623,0.41282565130260523,0.31989515726410395,0.6666666666666666,0.0,-0.020833333333333332,0.7591321196750467,5246849700.0,-0.13475177304964536,0.028368794326241176,-0.17375886524822692,-0.12765957446808507,0.028368794326241176,-0.17375886524822692,-0.21276595744680848,0.028368794326241176,-0.23049645390070927,-0.2695035460992907,0.028368794326241176,-0.2872340425531915,-0.37446808510638296,0.028368794326241176,-0.41985815602836885,-0.36808510638297876,0.028368794326241176,-0.41985815602836885,False,False,True,True
train,CRASH,2022-08-23,4,6,044490,태웅,13150.0,1.0387404602389185,0.32775665399239545,0.4034151547491996,0.3930084745762712,0.3075686514973235,0.9333333333333333,0.06666666666666667,0.04365079365079365,1.295344091462494,2561738350.0,-0.02281368821292773,0.02281368821292773,-0.057034220532319435,0.057034220532319324,0.07984790874524705,-0.057034220532319435,-0.026615969581749055,0.07984790874524705,-0.057034220532319435,-0.14068441064638781,0.07984790874524705,-0.20152091254752846,-0.24410646387832702,0.07984790874524705,-0.2745247148288973,-0.3315589353612167,0.07984790874524705,-0.3467680608365019,False,False,False,True
train,CRASH,2022-08-23,5,6,008730,율촌화학,28950.0,0.9521950132276904,0.3022452504317789,0.32798165137614677,0.32494279176201374,0.3219681114197648,0.7027027027027027,0.0,-0.01864406779661017,1.1711877924306962,4640337600.0,0.029360967184801412,0.051813471502590636,-0.03799654576856648,0.07426597582037986,0.12435233160621761,-0.03799654576856648,0.07253886010362698,0.12435233160621761,-0.03799654576856648,0.13298791018998268,0.160621761658031,-0.03799654576856648,0.02590673575129543,0.531951640759931,-0.0949913644214162,0.10189982728842839,0.531951640759931,-0.0949913644214162,False,True,False,False
train,CRASH,2022-08-23,6,6,095500,미래나노텍,9720.0,0.8899519470813992,0.36213991769547327,0.20148331273176762,0.5404120443740095,0.3263287166541584,0.9326923076923077,0.0673076923076923,0.09213483146067415,1.826875405306295,108516539160.0,0.14711934156378592,0.2397119341563787,0.044238683127572065,0.13683127572016462,0.2397119341563787,0.044238683127572065,0.13683127572016462,0.2397119341563787,0.0185185185185186,0.5895061728395061,0.882716049382716,0.0185185185185186,0.5792181069958848,0.882716049382716,0.0185185185185186,1.448559670781893,1.6440329218106995,0.0185185185185186,True,True,False,False
train,SIDEWAYS,2022-08-24,1,8,023160,태광,18950.0,1.259053185367672,0.34564643799472294,0.516,0.47470817120622566,0.397406747372949,0.9333333333333333,0.06666666666666667,0.0160857908847185,0.47865055068735624,7359535700.0,-0.0395778364116095,0.0,-0.06068601583113453,0.02638522427440626,0.0395778364116095,-0.06068601583113453,0.0,0.06596306068601576,-0.06068601583113453,-0.0949868073878628,0.06596306068601576,-0.1503957783641161,-0.23482849604221634,0.06596306068601576,-0.24802110817941958,-0.04221635883905017,0.06596306068601576,-0.24802110817941958,False,False,False,True
train,SIDEWAYS,2022-08-24,2,8,267260,현대일렉트릭,33100.0,1.1280360094272255,0.29154078549848944,0.5148741418764302,0.37916666666666665,0.32162108205230583,0.9387755102040817,0.061224489795918366,0.06260032102728733,1.527603651612691,27038099100.0,0.031722054380664666,0.03474320241691853,-0.05740181268882172,-0.03474320241691842,0.03625377643504524,-0.0619335347432024,-0.009063444108761365,0.03625377643504524,-0.0785498489425982,-0.033232628398791486,0.04078549848942603,-0.08761329305135956,-0.05438066465256797,0.08006042296072513,-0.14501510574018128,0.28851963746223563,0.31873111782477337,-0.14501510574018128,False,False,False,False
train,SIDEWAYS,2022-08-24,3,8,388720,유일로보틱스,31300.0,1.0574531139918166,0.4217252396166134,0.29338842975206614,0.4558139534883721,0.34233944462313715,0.9583333333333334,0.041666666666666664,0.07191780821917808,0.5458765747442255,45389788900.0,-0.036741214057507965,0.07507987220447276,-0.06709265175718848,0.028753993610223683,0.13258785942492013,-0.06709265175718848,-0.04313099041533541,0.13258785942492013,-0.06709265175718848,0.04313099041533541,0.21246006389776362,-0.06709265175718848,-0.1437699680511182,0.21246006389776362,-0.23801916932907352,-0.08306709265175716,0.21246006389776362,-0.23801916932907352,True,False,False,False
train,SIDEWAYS,2022-08-24,4,8,277810,레인보우로보틱스,31350.0,0.9717173185038233,0.29984051036682613,0.4413793103448276,0.25903614457831325,0.23049749779216955,1.0,0.0,0.02618657937806874,0.4095886393148582,11115675450.0,-0.06539074960127589,0.022328548644338087,-0.09090909090909094,-0.01754385964912286,0.022328548644338087,-0.09090909090909094,-0.14194577352472093,0.022328548644338087,-0.15470494417862835,0.14513556618819767,0.2503987240829346,-0.15470494417862835,0.02392344497607657,0.2503987240829346,-0.15470494417862835,0.10685805422647521,0.2503987240829346,-0.15470494417862835,True,False,True,False
train,SIDEWAYS,2022-08-24,5,8,009830,한화솔루션,49300.0,0.9475615421833681,0.3103448275862069,0.38095238095238093,0.42485549132947975,0.25626433364478035,0.9545454545454546,0.045454545454545456,0.03680336487907466,1.3804453829384724,249333024500.0,0.05476673427991896,0.06693711967545646,-0.008113590263691739,0.06693711967545646,0.07707910750507097,-0.008113590263691739,0.07505070993914797,0.11359026369168368,-0.008113590263691739,0.008113590263691739,0.1338742393509127,-0.024340770791075106,-0.045638945233265726,0.1338742393509127,-0.08012170385395534,0.04868154158215021,0.1338742393509127,-0.08012170385395534,False,False,False,False
train,SIDEWAYS,2022-08-24,6,8,003670,포스코케미칼,166000.0,0.9058137237221233,0.31626506024096385,0.2918287937743191,0.4008438818565401,0.29771986970684033,1.0,0.0,0.0440251572327044,1.1122516659852102,185074562000.0,0.02108433734939763,0.030120481927710774,-0.051204819277108404,0.012048192771084265,0.03915662650602414,-0.051204819277108404,0.01807228915662651,0.03915662650602414,-0.051204819277108404,0.054216867469879526,0.1355421686746987,-0.051204819277108404,0.19277108433734935,0.2349397590361446,-0.11445783132530118,0.31325301204819267,0.43975903614457823,-0.11445783132530118,False,False,False,False
train,SIDEWAYS,2022-08-24,7,8,005420,코스모화학,22000.0,0.8631074747585175,0.2909090909090909,0.30952380952380953,0.25,0.2626745743256171,1.0,0.0,0.06280193236714976,1.0363065729657177,51964066000.0,0.022727272727272707,0.10909090909090913,-0.025000000000000022,0.10909090909090913,0.1454545454545455,-0.025000000000000022,0.1454545454545455,0.19772727272727275,-0.025000000000000022,0.20454545454545459,0.3931818181818181,-0.025000000000000022,0.05681818181818188,0.3931818181818181,-0.025000000000000022,0.006818181818181834,0.3931818181818181,-0.025000000000000022,True,False,False,False
train,SIDEWAYS,2022-08-24,8,8,112610,씨에스윈드,69000.0,0.8489763524868126,0.30579710144927535,0.2849162011173184,0.43600416233090533,0.2582630499202188,1.0,0.0,0.029850746268656716,1.9531731518290216,60973023000.0,0.02463768115942022,0.026086956521739202,-0.047826086956521685,-0.004347826086956497,0.02898550724637672,-0.047826086956521685,-0.05797101449275366,0.02898550724637672,-0.09275362318840574,-0.05942028985507242,0.02898550724637672,-0.13913043478260867,-0.1594202898550725,0.02898550724637672,-0.17826086956521736,0.10144927536231885,0.15797101449275353,-0.17826086956521736,False,False,False,True
train,SIDEWAYS,2022-08-25,1,4,023160,태광,18650.0,1.2328444256290152,0.34584450402144773,0.5224489795918368,0.4801587301587302,0.36455094201573074,0.7391304347826086,0.0,-0.0158311345646438,0.7635825554221727,11911568500.0,0.05093833780160861,0.05630026809651478,-0.04557640750670244,0.02144772117962468,0.08310991957104563,-0.04557640750670244,-0.02144772117962468,0.08310991957104563,-0.04557640750670244,-0.13404825737265413,0.08310991957104563,-0.15281501340482573,-0.2305630026809652,0.08310991957104563,-0.23592493297587136,0.01608579088471851,0.08310991957104563,-0.23592493297587136,False,False,False,True
train,SIDEWAYS,2022-08-25,2,4,012450,한화에어로스페이스,74300.0,1.0566807957329731,0.34320323014804843,0.38104089219330856,0.42337164750957856,0.33243667339161626,0.4642857142857143,0.0,-0.01978891820580475,0.6191753680904262,106266534800.0,0.03499327052489898,0.088829071332436,-0.0026917900403768957,0.07402422611036341,0.1359353970390309,-0.0026917900403768957,0.09825033647375503,0.1682368775235532,-0.0026917900403768957,-0.11036339165545084,0.1682368775235532,-0.11709286675639297,-0.16958277254374154,0.1682368775235532,-0.2920592193808883,-0.044414535666218,0.1682368775235532,-0.2920592193808883,False,False,False,False
train,SIDEWAYS,2022-08-25,3,4,007770,한일화학,24500.0,0.889217947338424,0.2612244897959184,0.384180790960452,0.1922141119221411,0.24381266658205356,1.0,0.0,0.06986899563318777,1.3181532349829317,6470964500.0,-0.06326530612244896,0.03265306122448974,-0.10408163265306125,-0.06938775510204087,0.03265306122448974,-0.11224489795918369,0.30612244897959173,0.4346938775510205,-0.11224489795918369,-0.061224489795918324,0.4346938775510205,-0.11224489795918369,-0.19387755102040816,0.4346938775510205,-0.19999999999999996,-0.1306122448979592,0.4346938775510205,-0.19999999999999996,True,False,True,False
