signal_date,entry_date,peak_date,peak_day,asset_code,asset_name,max_ret40,open_price,high_price,low_price,close_price,volume,trade_amount,market_cap,ret5,ret20,ret60,ret120,ret252,high60_ratio,range20,volume_expansion,body_ret,upper_shadow,lower_shadow,candle_location,ma5_dist,ma20_dist,ma60_dist,ma120_dist,ma200_dist,tenkan,kijun,senkou_a_proxy,senkou_b_proxy,cloud_state,tenkan_kijun_state,week_ret,week_range,week_body,week_close_location,month_ret,month_range,month_body,month_close_location,year_ret,year_range,year_body,year_close_location,market_foreign_net,market_institution_net,market_individual_net,foreign_buy_rank,foreign_buy_amount,inst_buy_rank,inst_buy_amount,q_ret20d,q_ret60d,q_risk_adj_ret60d,q_drawdown60d,q_trade_amount20d_avg
2022-08-22,2022-08-23,2022-10-05,29,101670,코리아에스이,7.7556561085972851,2135.0000,2275.0000,2125.0000,2250.0000,351696,791316000.0000,42525000000,-0.01098901098901098901,0.0368663594470046,0.2500000000000000,0.6129032258064516,0.0765550239234450,0.95137420718816067653,0.12666666666666666667,1.4317722002766970,0.05386416861826697892,0.01111111111111111111,0.00444444444444444444,0.83333333333333333333,0.0344827586206897,0.0102143899427545,0.0959126517027235,0.1680726800778715,0.2916188289322618,2222.5000000000000000,2120.0000000000000000,2171.2500000000000000,2050.0000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.0538641686182670,0.06666666666666666667,0.05386416861826697892,0.83333333333333333333,0E-20,0.12666666666666666667,0E-20,0.59649122807017543860,0.5734265734265734,0.49777777777777777778,0.57342657342657342657,0.89732142857142857143,,,,,,,,0.03686635944700460829,0.25000000000000000000,10.3346329748153787989227626278886372913126,-0.01746724890829694323,566934861.50000000
2024-08-30,2024-09-02,2024-11-01,39,192250,케이사인,7.7361623616236162,1160.0000,1200.0000,1073.0000,1083.0000,2905435,3146586105.0000,76536971331,0.1119096509240246,0.0037071362372567,-0.10937500000000000000,-0.14319620253164556962,-0.26024590163934426230,0.88048780487804878049,0.34533702677746999077,3.9453102064544816,-0.06637931034482758621,0.03693444136657433056,0.00923361034164358264,0.07874015748031496063,0.0253739822003408,0.0764872521246459,0.0055399090093157,-0.09196349967160883719,-0.12486262848277199560,1060.0000000000000000,1013.0000000000000000,1036.5000000000000000,1013.5000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.1119096509240246,0.25854108956602031394,0.11190965092402464066,0.58214285714285714286,0.0463768115942029,0.34533702677746999077,0.04637681159420289855,0.68716577540106951872,-0.16241299303944315545,0.84025854108956602031,-0.16241299303944315545,0.28241758241758241758,,,,,,,,0.00370713623725671918,-0.10937500000000000000,-3.9521383686532115999454212075592126999536,-0.10937500000000000000,1517579724.55000000
2023-03-07,2023-03-08,2023-04-19,31,131400,이브이첨단소재,7.6520681265206813,1933.0000,2350.0000,1850.0000,2085.0000,40796712,85061144520.0000,66860614485,0.3835434638354346,0.0916230366492147,1.0541871921182266,0.1982758620689655,0.4529616724738676,0.90652173913043478261,0.40479616306954436451,3.2269255137434050,0.07863424728401448526,0.12709832134292565947,0.03980815347721822542,0.47000000000000000000,0.1663683150592974,0.2367648367292464,0.3818471020976240,0.3422530753260409,0.2359840300192956,1928.0000000000000000,1928.0000000000000000,1928.0000000000000000,1175.0000000000000000,ABOVE_CLOUD,TENKAN_BELOW,0.2410714285714286,0.32134292565947242206,0.24107142857142857143,0.60447761194029850746,0.3451612903225806,0.39520383693045563549,0.34516129032258064516,0.67839805825242718447,,1.1270983213429257,,0.88723404255319148936,,,,,,,,0.09162303664921465969,1.0541871921182266,7.3655328041441918796651447707531725667362,0.00000000000000000000,11297754687.75000000
2023-03-29,2023-03-30,2023-04-19,15,131400,이브이첨단소재,7.6310679611650485,1907.0000,2185.0000,1840.0000,2060.0000,27197152,56026133120.0000,99224928460,0.1147186147186147,0.3642384105960265,1.1615949632738720,-0.06575963718820861678,0.1075268817204301,0.87659574468085106383,0.40000000000000000000,4.8389371962998028,0.08023072889355007866,0.06067961165048543689,0.03252427184466019417,0.63768115942028985507,0.1017221093165044,0.1425085272177699,0.1894222256437892,0.3474987871420706,0.2286550998133160,1883.0000000000000000,1928.0000000000000000,1905.5000000000000000,1928.0000000000000000,ABOVE_CLOUD,TENKAN_BELOW,0.2018669778296383,0.23058252427184466019,0.20186697782963827305,0.73684210526315789474,0.3290322580645161,0.40000000000000000000,0.32903225806451612903,0.64805825242718446602,,1.1407766990291262,,0.87659574468085106383,,,,,,,,0.36423841059602649007,1.1615949632738720,7.9680696786699271990828302568033617952697,-0.01199040767386091127,20796584636.90000000
2023-03-30,2023-03-31,2023-04-19,14,131400,이브이첨단소재,7.6101694915254237,2060.0000,2105.0000,1956.0000,2030.0000,9634011,19557042330.0000,97779905230,0.0855614973262032,0.1802325581395349,1.1301154249737671,-0.08764044943820224719,0.1372549019607843,0.86382978723404255319,0.39408866995073891626,4.1536567912454758,-0.01456310679611650485,0.02216748768472906404,0.03645320197044334975,0.49664429530201342282,0.0674098222736355,0.1162739545242088,0.1600773384892326,0.3292879905705679,0.2107981724701476,1883.0000000000000000,1928.0000000000000000,1905.5000000000000000,1928.0000000000000000,ABOVE_CLOUD,TENKAN_BELOW,0.1843640606767795,0.23399014778325123153,0.18436406067677946324,0.67368421052631578947,0.3096774193548387,0.40591133004926108374,0.30967741935483870968,0.61165048543689320388,,1.1576354679802956,,0.86382978723404255319,,,,,,,,0.18023255813953488372,1.1301154249737671,7.7497283059338689466474617403334425010060,-0.02637889688249400480,20646744467.40000000
2022-08-04,2022-08-05,2022-10-05,40,101670,코리아에스이,7.5619469026548673,2265.0000,2350.0000,2235.0000,2270.0000,260804,592025080.0000,42903000000,0.0484988452655889,0.1019417475728155,0.2336956521739130,0.6156583629893238,0.0066518847006652,0.97844827586206896552,0.22466960352422907489,1.1899216989895568,0.00220750551876379691,0.03524229074889867841,0.01321585903083700441,0.30434782608695652174,0.0035366931918656,0.0726520968694625,0.1520406005497991,0.2293528296777688,0.3197482594729728,2220.0000000000000000,2095.0000000000000000,2157.5000000000000000,2032.5000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.0088888888888889,0.07709251101321585903,0.00888888888888888889,0.54285714285714285714,0.0088888888888889,0.07709251101321585903,0.00888888888888888889,0.54285714285714285714,0.5874125874125874,0.48678414096916299559,0.58741258741258741259,0.92760180995475113122,,,,,,,,0.10194174757281553398,0.23369565217391304348,9.7358893555912783774236206772433839261683,-0.00873362445414847162,539009228.50000000
2024-09-02,2024-09-03,2024-11-01,38,192250,케이사인,7.5315315315315315,1084.0000,1189.0000,1084.0000,1118.0000,4058147,4537008346.0000,79010465326,0.1561530506721820,0.0739673390970221,-0.08059210526315789474,-0.11690363349131121643,-0.23790047716428084526,0.90894308943089430894,0.33452593917710196780,4.3848149247068303,0.03136531365313653137,0.06350626118067978533,0E-20,0.32380952380952380952,0.0290868924889543,0.1070403010199030,0.0396131671936024,-0.06164757228587015821,-0.09610549208890182477,1060.0000000000000000,1013.0000000000000000,1036.5000000000000000,1013.5000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.0313653136531365,0.09391771019677996422,0.03136531365313653137,0.32380952380952380952,0.0313653136531365,0.09391771019677996422,0.03136531365313653137,0.32380952380952380952,-0.13534416086620262954,0.81395348837209302326,-0.13534416086620262954,0.32087912087912087912,,,,,,,,0.07396733909702209414,-0.08059210526315789474,-2.8770489651229660302818448929958803530037,-0.07831821929101401484,1722944318.25000000
2022-08-10,2022-08-11,2022-10-05,36,101670,코리아에스이,7.4497816593886463,2200.0000,2295.0000,2175.0000,2250.0000,258862,582439500.0000,42525000000,-0.00662251655629139073,0.1842105263157895,0.2711864406779661,0.6483516483516484,-0.03017241379310344828,0.95137420718816067653,0.23333333333333333333,1.2119044575697270,0.02272727272727272727,0.02000000000000000000,0.01111111111111111111,0.62500000000000000000,0.0017809439002671,0.0354348826507133,0.1248125312447925,0.1988810443585986,0.2999581124608207,2250.0000000000000000,2102.5000000000000000,2176.2500000000000000,2050.0000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.0022271714922049,0.08444444444444444444,0.00222717149220489978,0.39473684210526315789,0E-20,0.08444444444444444444,0E-20,0.39473684210526315789,0.5734265734265734,0.49777777777777777778,0.57342657342657342657,0.89732142857142857143,,,,,,,,0.18421052631578947368,0.27118644067796610169,11.9217919173968624197190657900860681734532,-0.01746724890829694323,556132118.00000000
2023-02-24,2023-02-27,2023-04-21,39,096610,알에프세미,7.4022824536376605,3735.0000,3735.0000,3555.0000,3620.0000,362804,1313350480.0000,39363199440,0.0462427745664740,0.0903614457831325,0.3712121212121212,-0.06338939197930142303,-0.28458498023715415020,0.87439613526570048309,0.32320441988950276243,2.3996961364476030,-0.03078982597054886212,0E-20,0.01795580110497237569,0.36111111111111111111,-0.00957592339261285910,0.0511796733212341,0.2167044786152424,0.2723145639598741,0.1322407106217941,3632.5000000000000000,3470.0000000000000000,3551.2500000000000000,3152.5000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.0462427745664740,0.15055248618784530387,0.04624277456647398844,0.40366972477064220183,0.0822122571001495,0.32320441988950276243,0.08221225710014947683,0.55555555555555555556,0.5670995670995671,0.54558011049723756906,0.56709956709956709957,0.73670886075949367089,,,,,,,,0.09036144578313253012,0.37121212121212121212,7.1957277102015556534715782873699169789851,-0.05851755526657997399,2859691988.00000000
2022-08-24,2022-08-25,2022-10-05,27,101670,코리아에스이,7.3766233766233766,2135.0000,2305.0000,2135.0000,2265.0000,439324,995068860.0000,42808500000,0.0534883720930233,-0.01091703056768558952,0.2080000000000000,0.5950704225352113,0.1796875000000000,0.95771670190274841438,0.12582781456953642384,1.2567024845589029,0.06088992974238875878,0.01766004415011037528,0E-20,0.76470588235294117647,0.0375629867155291,0.0184352517985612,0.0966752743705617,0.1677013296672610,0.2971765649160987,2192.5000000000000000,2162.5000000000000000,2177.5000000000000000,2050.0000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.0608899297423888,0.09271523178807947020,0.06088992974238875878,0.80952380952380952381,0.0066666666666667,0.12582781456953642384,0.00666666666666666667,0.64912280701754385965,0.5839160839160839,0.49448123620309050773,0.58391608391608391608,0.91071428571428571429,,,,,,,,-0.01091703056768558952,0.20800000000000000000,8.3094172216006880202847475847665955720345,-0.01091703056768558952,544638171.00000000
2023-02-20,2023-02-21,2023-04-18,40,131400,이브이첨단소재,7.3647416413373860,1640.0000,1699.0000,1639.0000,1644.0000,609455,1001944020.0000,52718873004,-0.04916136495083863505,-0.01261261261261261261,0.5961165048543689,-0.10652173913043478261,0.1145762711864407,0.71478260869565217391,0.28406326034063260341,0.40347493639589734765,0.00243902439024390244,0.03345498783454987835,0.00060827250608272506,0.08333333333333333333,-0.00951921918303410049,-0.04654197477163984341,0.1586848504070198,0.0553796114011812,-0.02774533314802932140,1812.5000000000000000,1876.5000000000000000,1844.5000000000000000,1150.0000000000000000,IN_CLOUD,TENKAN_BELOW,0.0024390243902439,0.03649635036496350365,0.00243902439024390244,0.08333333333333333333,-0.03008849557522123894,0.28406326034063260341,-0.03008849557522123894,0.04496788008565310493,,1.3990267639902676,,0.71478260869565217391,,,,,,,,-0.01261261261261261261,0.59611650485436893204,4.1625815911960118860670959105904646949847,-0.17178841309823677582,3543774705.30000000
2022-08-25,2022-08-26,2022-10-05,26,101670,코리아에스이,7.3047210300429185,2310.0000,2400.0000,2275.0000,2330.0000,390043,908800190.0000,44037000000,0.1175059952038369,0.0590909090909091,0.2041343669250646,0.5743243243243243,0.2594594594594595,0.98520084566596194503,0.13733905579399141631,1.1862796057882003,0.00865800865800865801,0.03004291845493562232,0.01502145922746781116,0.44000000000000000000,0.0439068100358423,0.0446088321004259,0.1245626030647951,0.1968409562742118,0.3314285714285714,2240.0000000000000000,2207.5000000000000000,2223.7500000000000000,2067.5000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.0913348946135831,0.13090128755364806867,0.09133489461358313817,0.77049180327868852459,0.0355555555555556,0.13733905579399141631,0.03555555555555555556,0.78125000000000000000,0.6293706293706294,0.49570815450643776824,0.62937062937062937063,0.93939393939393939394,,,,,,,,0.05909090909090909091,0.20413436692506459948,8.1743334605295099806946907812861845107096,0.00000000000000000000,537841600.50000000
2023-03-02,2023-03-03,2023-04-21,36,096610,알에프세미,7.2492997198879552,3745.0000,3750.0000,3565.0000,3565.0000,265175,945348875.0000,38765139780,-0.03125000000000000000,0.1263823064770932,0.3659003831417625,-0.06675392670157068063,-0.25729166666666666667,0.86111111111111111111,0.32819074333800841515,2.4473023856656484,-0.04806408544726301736,0.00140252454417952314,0E-20,0E-20,-0.01817681079592398788,0.0206126538791869,0.1814415907207954,0.2542879760752925,0.1170296099013003,3632.5000000000000000,3555.0000000000000000,3593.7500000000000000,3152.5000000000000000,IN_CLOUD,TENKAN_ABOVE,0.0171184022824536,0.09537166900420757363,0.01711840228245363766,0.17647058823529411765,-0.04806408544726301736,0.05189340813464235624,-0.04806408544726301736,0E-20,0.5432900432900433,0.55399719495091164095,0.54329004329004329004,0.70886075949367088608,,,,,,,,0.12638230647709320695,0.36590038314176245211,7.4320115795112567315948436749978168589286,-0.07282184655396618986,2876493339.50000000
2023-04-07,2023-04-10,2023-05-04,18,089140,넥스턴바이오,7.2338308457711443,2035.0000,2210.0000,1953.0000,1973.0000,8900209,17560112357.0000,77211877223,0.3376271186440678,0.2447949526813880,-0.01596009975062344140,-0.29409660107334525939,-0.55209988649262202043,0.70716845878136200717,0.72529143436391282311,3.8525748448478530,-0.03046683046683046683,0.08869741510390268626,0.01013684744044602129,0.07782101167315175097,-0.04961464354527938343,0.2176757390606678,0.1364443633780372,0.0302334081771187,-0.10177732454383217394,2122.5000000000000000,2074.5000000000000000,2098.5000000000000000,2074.5000000000000000,BELOW_CLOUD,TENKAN_ABOVE,0.3331081081081081,0.66599087683730359858,0.33310810810810810811,0.37823439878234398782,0.3331081081081081,0.66599087683730359858,0.33310810810810810811,0.37823439878234398782,0.2030487804878049,0.72529143436391282311,0.20304878048780487805,0.42907058001397624039,,,,,,,,0.24479495268138801262,-0.01596009975062344140,-0.2762751396680151554699968644965832163408,-0.15683760683760683761,7958372142.30000000
2024-08-29,2024-08-30,2024-11-01,40,192250,케이사인,7.1637931034482759,1085.0000,1116.0000,1057.0000,1067.0000,1578900,1684686300.0000,75406231219,0.0977366255144033,0.0220306513409962,-0.12325390304026294166,-0.15451664025356576862,-0.28293010752688172043,0.84015748031496062992,0.32333645735707591378,4.4505192905942723,-0.01658986175115207373,0.02905342080599812559,0.00937207122774133083,0.16949152542372881356,0.0315158546017015,0.0607943530347467,-0.01135047486680565207,-0.10650858670090647093,-0.13839395664514670317,1043.0000000000000000,998.5000000000000000,1020.7500000000000000,1016.5000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.0954825462012320,0.23055295220243673852,0.09548254620123203285,0.59756097560975609756,0.0309178743961353,0.32333645735707591378,0.03091787439613526570,0.69855072463768115942,-0.17478731631863882444,0.85285848172446110590,-0.17478731631863882444,0.26483516483516483516,,,,,,,,0.02203065134099616858,-0.12325390304026294166,-4.4671244185590402616116944205082643401324,-0.12253289473684210526,1475811643.00000000
2023-03-08,2023-03-09,2023-04-04,19,234920,자이글,7.1380753138075314,4440.0000,4970.0000,4395.0000,4765.0000,204518,974528270.0000,64474786150,0.1238207547169811,0.0484048404840484,-0.01752577319587628866,0.3633762517882690,0.4245142002989537,0.61883116883116883117,0.19412381951731374607,0.33371432850735243781,0.07319819819819819820,0.04302203567681007345,0.00944386149003147954,0.64347826086956521739,0.0809891107078040,0.0504850088183422,-0.03742235240644411898,0.0211808408043719,0.1954190238456617,4557.5000000000000000,4607.5000000000000000,4582.5000000000000000,5922.5000000000000000,IN_CLOUD,TENKAN_BELOW,0.1495778045838359,0.17313746065057712487,0.14957780458383594692,0.75151515151515151515,0.1159250585480094,0.17313746065057712487,0.11592505854800936768,0.75151515151515151515,-0.15663716814159292035,0.38090241343126967471,-0.15663716814159292035,0.34159779614325068871,,,,,,,,0.04840484048404840484,-0.01752577319587628866,-0.4269421115118425033661147208229414792519,-0.24723538704581358610,205279616.75000000
