signal_date,asset_code,asset_name,label,max_ret40,min_ret10,close20_ret,ret5,ret20,ret60,ret120,high60_ratio,range20,volume_expansion,body_ret,upper_shadow,lower_shadow,candle_location,ma5_dist,ma20_dist,ma60_dist,ma120_dist,ma20_slope5,ma60_slope5,above_cloud,tenkan_above,ma20_over_ma60
2025-04-25,377030,비트맥스,WINNER_50,2.8109912686183873,-0.09707241910631741140,0.8695428864920390,-0.04969574036511156187,-0.06159238858287431147,0.4980015987210232,-0.21753653444676409186,0.70716981132075471698,0.28014941302027748132,0.19550931401718056477,0.00482573726541554960,0.06723585912486659552,0.02934898612593383138,0.33684210526315789474,0.0019247219846022,0.0268211829812882,0.0349493294551881,0.1160186995662574,-0.01102741952964127019,0.0277554418261454,0,1,1
2023-09-25,066790,씨씨에스,WINNER_50,2.8082437275985663,-0.14874551971326164875,0.7419354838709677,0.7719568567026194,1.2373540856031128,1.0535714285714286,1.1256931608133087,1.1230468750000000,0.64086956521739130435,10.8642041701569819,0.20925341745531019979,0.07478260869565217391,0E-20,0.69824561403508771930,0.3331787618826803,0.7862690276483380,1.0451109991404606,1.0381337783751052,0.1593733117233928,0.0470796350319657,1,1,1
2023-02-16,002710,TCC스틸,WINNER_50,2.7925170068027211,-0.03911564625850340136,0.50935374149659863946,-0.05403288958496476116,0.20199004975124378109,0.17853658536585365854,-0.00983606557377049180,0.93353941267387944359,0.25496688741721854305,1.5097570233364166,0E-24,0.00165562913907284768,0.04221854304635761589,0.96226415094339622642,-0.01484260316424726798,0.04929424538545059718,0.15045792923921838858,0.18467183707493274324,0.05017103762827822121,0.01565371594389817881,1,1,1
2023-05-23,007660,이수페타시스,WINNER_50,2.7878787878787879,-0.02571166207529843893,1.1028466483011938,0.1871657754010695,0.2065217391304348,0.3653136531365314,0.7788461538461538,0.94871794871794871795,0.28288288288288288288,0.52970310441624289665,0.00361663652802893309,0.00900900900900900901,0.02162162162162162162,0.73684210526315789474,0.07018897030466640956,0.1620603015075377,0.1745410295751548,0.3750245171413529,0.0308099066529974,0.0207560756075608,1,1,1
2024-01-16,270660,에브리봇,WINNER_50,2.7828947368421053,-0.04210526315789473684,1.8486842105263158,0.24920127795527156550,0.30988274706867671692,0.45488372093023255814,0.08460471567267683773,1.00449582530507385999,0.38810741687979539642,4.3222149439376065,0.10063335679099225897,0.11317135549872122762,0.01086956521739130435,0.47477744807121661721,0.08580949736184393224,0.23886094498792031368,0.30089415678935329590,0.23291990750472990417,0.05335836462244472257,0.02174220963172801638,1,1,1
2023-11-03,080220,제주반도체,WINNER_50,2.7714285714285714,-0.09183673469387755102,0.4408163265306122,0.1908866995073892,0.2271573604060914,0.1114942528735632,-0.01727642276422764228,0.93520309477756286267,0.26266804550155118925,5.0226537728897684,-0.02026342451874366768,0.01344364012409513961,0.00620475698035160290,0.15384615384615384615,0.1074209803023362,0.1612128489942960,0.1372010976087809,0.0507157797517181,0.0199644803723437,-0.00250254164385704229,1,1,0
2025-05-16,124500,아이티센글로벌,WINNER_50,2.7585421412300683,-0.02847380410022779043,2.1093394077448747,0.2987012987012987,0.4240506329113924,0.3138686131386861,0.5100671140939597,1.0169491525423729,0.34222222222222222222,3.4921730347696231,0E-20,0.03000000000000000000,0.10111111111111111111,0.77118644067796610169,0.0721944245889921,0.2783183012570130,0.3845088839320052,0.5048594419479569,0.0944349448157936,0.0346446666843515,1,1,1
2024-03-13,009470,삼화전기,WINNER_50,2.7555555555555556,-0.04444444444444444444,0.8977777777777778,0.2398042414355628,0.3065902578796562,0.4805194805194805,0.3325540619520748,1.00662251655629139073,0.28421052631578947368,0.49703995281588899893,0.08313539192399049881,0.02850877192982456140,0.01315789473684210526,0.75925925925925925926,0.08674928503336510963,0.2317666126418152,0.2946576444423414,0.3913609503564854,0.05341035199043906326,0.02879035712894806636,1,1,1
2022-09-08,030960,양지사,WINNER_50,2.7541899441340782,0E-20,1.5726256983240223,0.07871720116618075802,0.29370629370629370629,0.9453207150368034,1.0218579234972678,0.83333333333333333333,0.50810810810810810811,3.0842299033492183,-0.06091370558375634518,0.00270270270270270270,0.02432432432432432432,0.26470588235294117647,-0.04589994842702423930,0.19412619009197999032,0.60187029180015585765,0.74606545385904060782,0.14104216534708156877,0.07788510896448737692,1,1,1
2023-07-20,011810,STX,WINNER_50,2.7500000000000000,-0.12348484848484848485,0.8750000000000000,0.03482972136222910217,0.27454718779790276454,0.8804500703234880,1.4532110091743119,0.79725700655933214073,0.59685863874345549738,0.76210534518413510297,-0.09966329966329966330,0.00523560209424083770,0.01271503365744203441,0.09883720930232558140,0.00662550820659539226,0.11639946559786239145,0.3433135737968452,0.7076623418092025,0.08169624712098631622,0.0519473656396977,0,1,1
2025-05-19,124500,아이티센글로벌,WINNER_50,2.7500000000000000,-0.01477272727272727273,2.2613636363636364,0.1044585987261146,0.3761904761904762,0.3483670295489891,0.4670050761421320,0.93527508090614886731,0.35524798154555940023,3.6689372717861108,-0.01252847380410022779,0.03460207612456747405,0.01614763552479815456,0.25454545454545454545,0.0130871698995092,0.2110629976253667,0.3261274122415683,0.4441275062982781,0.0926434676434676,0.0338402340352634,1,1,1
2024-09-03,123330,제닉,WINNER_50,2.7500000000000000,-1.00000000000000000000,1.5514705882352941,0.3525046382189239,1.2852664576802508,1.2327718223583461,0.8225000000000000,1.00000000000000000000,0.65020576131687242798,4.6183504257879040,-0.06538461538461538462,0E-20,0.06995884773662551440,0.50000000000000000000,0.1129770992366412,0.6505348955680082,1.0143222270832854,1.0513301520676273,0.2300355079022488,0.0802965100370638,1,1,1
2023-08-01,011810,STX,WINNER_50,2.7471612414837245,-0.04693414080242240727,1.7441332323996972,-0.02650429799426934097,0.26654240447343895620,0.5338600451467269,1.5497185741088180,0.81037567084078711986,0.45253863134657836645,1.4776924545451739,-0.00073529411764705882,0.05886681383370125092,0.03384841795437821928,0.36220472440944881890,0.05104408352668213457,0.01198897907513589992,0.29640523395392471172,0.6243836844464366,0.06174889310562934851,0.02793031313329407727,1,1,1
2023-02-17,086520,에코프로,WINNER_50,2.7442922374429224,0E-20,0.8401826484018265,0.1728723404255319,0.9207317073170732,0.8405676126878130,0.9705093833780161,0.91115702479338842975,0.60090702947845804989,2.8797706762433575,-0.02217294900221729490,0.05895691609977324263,0.02494331065759637188,0.23404255319148936170,0.0332708528584817,0.3920015151036899,0.6716998774339470,0.6911022202906702,0.1829213650959600,0.0591250351297459,1,1,1
2025-02-13,010770,평화홀딩스,WINNER_50,2.7342657342657343,-0.15268065268065268065,0.6456876456876457,0.1472556894243641,0.7037773359840954,0.6200378071833648,0.4930313588850174,0.95011086474501108647,0.46791131855309218203,65.1700864872471847,0.03128760529482551143,0.02217036172695449242,0.03617269544924154026,0.75000000000000000000,0.0897761953204476,0.2802509710188228,0.5226532425229494,0.5270621426980474,0.1193044059861216,0.0366845740598619,1,1,1
2023-03-23,234920,자이글,WINNER_50,2.7332053742802303,-1.000000000000000000000000,1.0489443378119002,0.1463104325699746,1.0477272727272727,0.4347133757961783,1.7937984496124031,1.0011111111111111,0.66648168701442841287,8.0161428983777927,-0.02383531960996749729,0.10210876803551609323,0.04106548279689234184,0.24503311258278145695,0.0873762973690562,0.4926485814868503,0.7041532035621404,0.7861036772722767,0.1759119466225101,0.0348736685859690,1,1,1
