week,trades,pnl_krw,avg_trade_ret,wins,capital_return,model
2025W06,5,-7984313.9883303195,-0.015968627976660637,2,-0.00798431398833032,old_daily_momentum
2025W07,5,9588526.04238158,0.019177052084763162,3,0.009588526042381581,old_daily_momentum
2025W08,5,-30227093.632478103,-0.0604541872649562,1,-0.030227093632478105,old_daily_momentum
2025W09,5,11772055.91717113,0.02354411183434226,2,0.01177205591717113,old_daily_momentum
2025W10,4,-12904756.165498918,-0.032261890413747295,1,-0.012904756165498918,old_daily_momentum
2025W11,5,-29743492.801467594,-0.05948698560293518,0,-0.029743492801467594,old_daily_momentum
2025W12,5,-2757506.9701884873,-0.005515013940376975,3,-0.002757506970188487,old_daily_momentum
2025W13,5,-22154980.72316941,-0.04430996144633882,2,-0.022154980723169408,old_daily_momentum
2025W14,5,5657814.149417359,0.011315628298834712,2,0.005657814149417359,old_daily_momentum
2025W15,5,16642872.14833304,0.03328574429666607,3,0.01664287214833304,old_daily_momentum
2025W16,5,-3580070.4339046963,-0.007160140867809398,3,-0.0035800704339046963,old_daily_momentum
2025W17,5,-28452401.20263363,-0.05690480240526726,1,-0.02845240120263363,old_daily_momentum
2025W18,4,0.0,0.0,0,0.0,old_daily_momentum
2025W19,3,1027646.8879675725,0.0034254896265585775,1,0.0010276468879675726,old_daily_momentum
2025W20,5,-74653059.28790262,-0.14930611857580525,0,-0.07465305928790263,old_daily_momentum
2025W21,5,-664005.2759697665,-0.001328010551939531,1,-0.0006640052759697665,old_daily_momentum
2025W22,5,-7723653.05692939,-0.015447306113858781,2,-0.00772365305692939,old_daily_momentum
2025W23,3,2442449.804178703,0.008141499347262342,2,0.002442449804178703,old_daily_momentum
2025W24,5,29485684.806756847,0.058971369613513694,4,0.029485684806756847,old_daily_momentum
2025W25,5,-17346995.987482134,-0.03469399197496427,3,-0.017346995987482135,old_daily_momentum
2025W26,5,3510127.216586463,0.007020254433172934,3,0.003510127216586463,old_daily_momentum
2025W27,5,-17533511.182202537,-0.03506702236440507,3,-0.017533511182202536,old_daily_momentum
2025W28,5,-34148302.34606987,-0.06829660469213975,1,-0.03414830234606987,old_daily_momentum
2025W29,5,-15241414.494259905,-0.03048282898851981,0,-0.015241414494259906,old_daily_momentum
2025W30,5,-29778229.135280985,-0.059556458270561975,2,-0.029778229135280984,old_daily_momentum
2025W31,5,-14042757.221463908,-0.02808551444292782,1,-0.014042757221463907,old_daily_momentum
2025W32,5,-2949458.815183427,-0.005898917630366862,3,-0.002949458815183427,old_daily_momentum
2025W33,4,355500.9904258838,0.0008887524760647055,1,0.0003555009904258838,old_daily_momentum
2025W34,5,7555554.672157366,0.015111109344314732,3,0.007555554672157366,old_daily_momentum
2025W35,5,1378846.1253195517,0.0027576922506391014,3,0.0013788461253195516,old_daily_momentum
2025W36,5,-16925299.308562696,-0.033850598617125395,2,-0.016925299308562698,old_daily_momentum
2025W37,5,23417406.33152003,0.04683481266304005,2,0.02341740633152003,old_daily_momentum
2025W38,5,-18088818.495150216,-0.03617763699030043,2,-0.018088818495150216,old_daily_momentum
2025W39,5,-24686427.627928235,-0.049372855255856475,3,-0.024686427627928234,old_daily_momentum
2025W40,4,-67513078.76970394,-0.16878269692425985,0,-0.06751307876970394,old_daily_momentum
2025W41,1,-10000000.0,-0.1,0,-0.01,old_daily_momentum
2025W42,5,-6758510.69508468,-0.01351702139016936,1,-0.00675851069508468,old_daily_momentum
2025W43,5,-41958086.45357138,-0.08391617290714276,2,-0.04195808645357138,old_daily_momentum
2025W44,5,-12294862.456631243,-0.024589724913262487,1,-0.012294862456631243,old_daily_momentum
2025W45,5,16210536.117605783,0.03242107223521157,5,0.016210536117605784,old_daily_momentum
2025W46,5,-12893666.524682894,-0.025787333049365785,3,-0.012893666524682894,old_daily_momentum
2025W47,5,12568130.412264453,0.0251362608245289,3,0.012568130412264454,old_daily_momentum
2025W48,5,-20064585.772833724,-0.04012917154566745,0,-0.020064585772833723,old_daily_momentum
2025W49,5,23177976.163940977,0.04635595232788196,5,0.02317797616394098,old_daily_momentum
2025W50,5,15760911.3042259,0.0315218226084518,2,0.0157609113042259,old_daily_momentum
2025W51,5,-2386307.6571614416,-0.00477261531432288,2,-0.0023863076571614414,old_daily_momentum
2025W52,4,-6171531.168575242,-0.015428827921438112,1,-0.006171531168575242,old_daily_momentum
2026W01,2,-7017791.211018391,-0.03508895605509195,0,-0.007017791211018391,old_daily_momentum
