period,regime,signal_date,asset_code,asset_name,entry_date,exit_date,ret,pnl_krw,reason
pre,BULL,2013-05-16,004960,한신공영,2013-05-27,2013-06-07,-0.123,-12300000.0,STOP
pre,BULL,2013-05-20,014470,리홈쿠첸,2013-05-28,2013-06-07,-0.123,-12300000.0,STOP
pre,BEAR,2013-07-16,000420,로케트전기,2013-07-24,2013-08-08,-0.123,-12300000.0,STOP
pre,BULL,2013-08-06,011200,현대상선,2013-08-14,2013-08-20,-0.027553571428571427,-2755357.1428571427,TRAIL
pre,SIDEWAYS,2013-08-19,001840,이화공영,2013-08-28,2013-10-21,0.4114385026737968,41143850.26737968,TRAIL
pre,SIDEWAYS,2013-09-12,100120,뷰웍스,2013-09-25,2013-12-20,0.14583720930232558,14583720.930232558,MAX
pre,SIDEWAYS,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,12526086.95652174,TRAIL
pre,SIDEWAYS,2013-09-27,048770,TPC,2013-10-08,2013-10-16,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2013-10-04,099440,SMEC,2013-10-15,2013-11-06,-0.04590822407628129,-4590822.407628129,TRAIL
pre,SIDEWAYS,2013-10-29,096630,에스코넥,2013-11-06,2013-11-14,-0.123,-12300000.0,STOP
pre,BULL,2014-03-05,086890,이수앱지스,2014-03-13,2014-03-31,-0.123,-12300000.0,STOP
pre,BULL,2014-04-18,046390,삼화네트웍스,2014-04-28,2014-06-16,0.05627342256214149,5627342.256214149,TRAIL
pre,SIDEWAYS,2014-06-30,002450,삼익악기,2014-07-08,2014-07-28,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2014-07-02,036090,위지트,2014-07-10,2014-07-23,0.106375,10637500.0,TRAIL
pre,BULL,2014-07-09,024940,PN풍년,2014-07-17,2014-07-24,-0.123,-12300000.0,STOP
pre,BULL,2014-07-22,084680,이월드,2014-07-30,2014-08-11,0.07070517928286853,7070517.928286852,TRAIL
pre,BULL,2014-07-24,002020,코오롱,2014-08-01,2014-08-18,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2014-08-18,054670,대한뉴팜,2014-08-26,2014-09-04,0.08092857142857142,8092857.142857142,TRAIL
pre,SIDEWAYS,2014-08-25,001040,CJ,2014-09-02,2014-10-13,-0.123,-12300000.0,STOP
pre,BULL,2014-09-01,035480,제이비어뮤즈먼트,2014-09-12,2014-09-16,-0.049936114732724905,-4993611.47327249,TRAIL
pre,SIDEWAYS,2014-11-28,086390,유니테스트,2014-12-08,2015-03-10,0.37961851015801357,37961851.015801355,MAX
pre,SIDEWAYS,2014-12-08,900110,이스트아시아홀딩스,2014-12-16,2014-12-18,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,47427272.72727273,TRAIL
pre,SIDEWAYS,2015-01-09,015710,코콤,2015-01-19,2015-01-21,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2015-01-09,043090,팜스웰바이오,2015-01-19,2015-01-26,0.042312499999999996,4231250.0,TRAIL
pre,SIDEWAYS,2015-01-12,086390,유니테스트,2015-01-20,2015-03-06,0.0656695278969957,6566952.78969957,MAX
pre,SIDEWAYS,2015-01-12,043090,팜스웰바이오,2015-01-20,2015-01-26,-0.019176470588235295,-1917647.0588235294,TRAIL
pre,SIDEWAYS,2015-01-20,032190,다우데이타,2015-01-28,2015-01-30,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2015-01-26,046310,백금T&A,2015-02-03,2015-02-09,-0.045338709677419355,-4533870.9677419355,TRAIL
pre,BULL,2015-01-26,060260,뉴보텍,2015-02-03,2015-02-09,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2015-01-26,036490,OCI머티리얼즈,2015-02-03,2015-05-04,0.4947307110438729,49473071.10438729,MAX
pre,BULL,2015-01-28,093920,서원인텍,2015-02-05,2015-03-24,0.05236332179930796,5236332.179930796,MAX
pre,BULL,2015-01-29,003350,한국화장품제조,2015-02-06,2015-02-12,0.48033333333333333,48033333.333333336,TRAIL
pre,BULL,2015-01-29,069110,코스온,2015-02-06,2015-04-14,0.6400517711171662,64005177.11171661,TRAIL
pre,BULL,2015-02-03,003350,한국화장품제조,2015-02-11,2015-02-12,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,-12300000.0,STOP
pre,BULL,2015-02-11,025870,신라에스지,2015-02-24,2015-02-27,-0.01279020979020979,-1279020.979020979,TRAIL
pre,BULL,2015-02-17,127120,디엔에이링크,2015-03-02,2015-03-19,-0.123,-12300000.0,STOP
pre,BULL,2015-03-09,000970,한국주철관,2015-03-17,2015-04-02,0.40325,40325000.0,TRAIL
pre,BULL,2015-03-16,000970,한국주철관,2015-03-24,2015-04-02,-0.123,-12300000.0,STOP
pre,BULL,2015-03-17,069110,코스온,2015-03-25,2015-04-14,0.2558726513569937,25587265.135699373,TRAIL
pre,BULL,2015-03-20,007070,GS리테일,2015-03-30,2015-05-13,0.18747619047619046,18747619.047619045,MAX
pre,BULL,2015-03-24,003350,한국화장품제조,2015-04-01,2015-04-03,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2015-03-25,003350,한국화장품제조,2015-04-03,2015-04-06,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2015-03-27,069110,코스온,2015-04-06,2015-04-14,0.08348648648648649,8348648.6486486485,TRAIL
pre,BULL,2015-03-27,078140,대봉엘에스,2015-04-06,2015-04-24,-0.05333557046979866,-5333557.046979866,TRAIL
pre,BULL,2015-04-02,053950,경남제약,2015-04-10,2015-04-22,0.27432240437158467,27432240.437158465,TRAIL
pre,BULL,2015-04-02,047080,한빛소프트,2015-04-10,2015-04-13,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2015-04-03,065170,엔알디,2015-04-13,2015-04-15,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2015-04-06,014190,원익큐브,2015-04-14,2015-04-24,0.008363636363636365,836363.6363636365,TRAIL
pre,BULL,2015-04-13,063170,서울옥션,2015-04-21,2015-04-22,-0.123,-12300000.0,STOP
