scope,variant,period,regime,signal_date,asset_code,asset_name,exchange,entry_check_date,entry_date,exit_date,ret,pnl_krw,reason,sig_range20,sig_ret60,sig_ma60_dist,entry_candle_loc,entry_upper_shadow,entry_body_ret,entry_ma20_dist,entry_vol_exp,entry_trade_amount,next_body_ret,close_5d,max_5d,min_5d,close_10d,max_10d,min_10d,close_20d,max_20d,min_20d,close_60d,max_60d,min_60d
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2017-11-22,004130,대덕GDS,KOSPI,2017-11-29,2017-11-30,2018-01-10,-0.123,-12300000.0,STOP,0.39365671641791045,0.45257452574525747,0.36955966272038165,0.96,0.04,0.03508771929824561,0.13570741097208855,1.1096459860201962,9740212650.0,0.038910505836575876,-0.03501945525291829,0.07392996108949416,-0.09533073929961089,-0.06420233463035019,0.07392996108949416,-0.09533073929961089,-0.007782101167315175,0.07392996108949416,-0.10700389105058365,-0.2140077821011673,0.07392996108949416,-0.2918287937743191
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-02-07,026890,디피씨,KOSPI,2020-02-14,2020-02-17,2020-02-19,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.38881748071979433,0.4018018018018018,0.44802556069113136,1.0,0.0,0.2833545108005083,0.5308829101932551,3.6196999094051168,495232522300.0,0.0730593607305936,-0.1689497716894977,0.1506849315068493,-0.17625570776255708,-0.12876712328767123,0.1506849315068493,-0.22100456621004566,-0.5159817351598174,0.1506849315068493,-0.5159817351598174,-0.10228310502283106,0.1506849315068493,-0.6671232876712329
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-02-07,042700,한미반도체,KOSPI,2020-02-14,2020-02-17,2020-02-28,-0.123,-12300000.0,STOP,0.29850746268656714,0.45652173913043476,0.23358832167985452,0.92,0.08,0.003051881993896236,0.06198502881145996,0.7034632502735738,5131617280.0,0.008113590263691683,-0.06795131845841786,0.02434077079107505,-0.07809330628803246,-0.07505070993914807,0.02434077079107505,-0.1440162271805274,-0.27281947261663286,0.02434077079107505,-0.3316430020283976,-0.1389452332657201,0.02434077079107505,-0.4726166328600406
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-06-05,034730,SK,KOSPI,2020-06-12,2020-06-15,2020-07-08,-0.123,-12300000.0,STOP,0.36186770428015563,0.3967391304347826,0.39471780028943565,1.0,0.0,0.13414634146341464,0.14862083161794978,1.863462200291682,362263086000.0,0.05190311418685121,0.01384083044982699,0.14878892733564014,-0.012110726643598616,0.01384083044982699,0.14878892733564014,-0.02768166089965398,-0.16089965397923875,0.14878892733564014,-0.17647058823529413,-0.26124567474048443,0.14878892733564014,-0.2906574394463668
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-07-13,009830,한화솔루션,KOSPI,2020-07-20,2020-07-21,2020-09-21,0.5604920634920635,56049206.34920635,TRAIL,0.2736625514403292,0.7419354838709677,0.42501099545521187,1.0,0.0,0.06903765690376569,0.2139208932177218,1.4834222011182714,134348313050.0,0.07539682539682539,0.013888888888888888,0.10912698412698413,-0.005952380952380952,0.07936507936507936,0.125,-0.007936507936507936,0.2757936507936508,0.3373015873015873,-0.007936507936507936,0.7142857142857143,1.0753968253968254,-0.007936507936507936
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-07-16,000910,유니온,KOSPI,2020-07-23,2020-07-24,2020-07-28,0.1276122448979592,12761224.48979592,TRAIL,0.276707530647986,0.9792027729636048,0.08379994305779634,1.0,0.0,0.09375,0.2935415319227571,8.519214887308713,163744693000.0,0.23809523809523808,0.22448979591836735,0.5102040816326531,-0.034013605442176874,0.29931972789115646,0.5102040816326531,-0.034013605442176874,0.1673469387755102,0.5102040816326531,-0.034013605442176874,-0.004081632653061225,0.5102040816326531,-0.058503401360544216
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-07-20,298040,효성중공업,KOSPI,2020-07-27,2020-07-28,2020-07-30,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.3012912482065997,1.138036809815951,0.5890265217721711,1.0,0.0,0.08644859813084112,0.4062145611249717,1.0713785421249022,25695156000.0,0.008342022940563087,-0.15745568300312826,0.035453597497393116,-0.17205422314911367,-0.0364963503649635,0.035453597497393116,-0.18143899895724713,-0.145985401459854,0.035453597497393116,-0.205422314911366,0.1553701772679875,0.616266944734098,-0.205422314911366
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-11-10,004270,남성,KOSPI,2020-11-17,2020-11-18,2020-12-24,-0.03174251497005988,-3174251.497005988,TRAIL,0.3831891223733004,0.48713235294117646,0.34043963327073906,1.0,0.0,0.11315789473684211,0.1337443044760118,1.0131930691879314,51526996290.0,0.029940119760479042,0.081437125748503,0.23592814371257484,-0.031137724550898204,0.1089820359281437,0.23592814371257484,-0.031137724550898204,0.07544910179640718,0.23592814371257484,-0.031137724550898204,-0.06227544910179641,0.23592814371257484,-0.16766467065868262
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-11-10,105840,우진,KOSPI,2020-11-17,2020-11-18,2020-12-02,-0.123,-12300000.0,STOP,0.37244348762109797,0.21437908496732025,0.18145785201042833,1.0,0.0,0.09165808444902163,0.14668974469926438,0.8243351234215328,12198564800.0,0.02091254752851711,-0.06749049429657794,0.08555133079847908,-0.07699619771863118,-0.1188212927756654,0.08555133079847908,-0.12167300380228137,-0.1806083650190114,0.08555133079847908,-0.19106463878326996,-0.23479087452471484,0.08555133079847908,-0.29277566539923955
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-11-30,023960,에쓰씨엔지니어링,KOSPI,2020-12-07,2020-12-08,2020-12-16,0.5342750642673522,53427506.426735215,TRAIL,0.3522727272727273,0.375,0.24352331606217623,1.0,0.0,0.24848484848484848,1.1604614577871002,1.1343767272177931,6434904400.0,0.04113110539845758,0.7737789203084833,0.9254498714652957,0.0,0.30848329048843187,0.9254498714652957,0.0,0.8431876606683805,1.056555269922879,0.0,0.2133676092544987,1.3624678663239074,0.0
