trade_date,regime,confidence,risk_budget,allowed_strategy,bull_score,bear_score,stress_score,breadth_ma20,breadth_ma60,volatility_20,liquidity_trend,kospi_close,kospi_ma20,kospi_ma60,kosdaq_close,kosdaq_ma20,kosdaq_ma60
2012-07-09,SIDEWAYS,0.55,0.5,W4_RESTRICT,6,2,1,0.631718999467802,0.5141032464076637,0.009981244970187824,-0.13393960018027162,1836.13,1858.2805,1892.017,495.23,484.40299999999996,480.45550000000003
2012-07-10,SIDEWAYS,0.55,0.5,W4_RESTRICT,6,2,1,0.5847953216374269,0.49973418394471025,0.00991257142222037,-0.07848064716812686,1829.45,1857.016,1889.3973333333333,492.34,485.42150000000004,480.56600000000003
2012-07-11,SIDEWAYS,0.6,0.5,W4_RESTRICT,5,3,2,0.5637619553666312,0.5079702444208289,0.009887436549611234,-0.06913989825868094,1826.39,1855.3695,1886.3553333333334,491.93,486.46999999999997,480.4405
2012-07-12,SIDEWAYS,0.65,0.5,W4_RESTRICT,4,2,3,0.4692144373673036,0.4570063694267516,0.010827677745766661,0.09131417333247982,1785.39,1851.0649999999998,1882.9013333333335,486.38,487.1875,480.1953333333333
2012-07-13,SIDEWAYS,0.65,0.5,W4_RESTRICT,4,2,3,0.4165341812400636,0.4467408585055644,0.011452834638404914,0.18616609356715785,1812.89,1848.8015,1880.0278333333333,484.32,488.0160000000001,479.92766666666665
2012-07-16,SIDEWAYS,0.6,0.5,W4_RESTRICT,3,3,3,0.43720190779014306,0.4541600423953365,0.010577466412739054,-0.166037616808148,1817.79,1845.1055000000001,1876.9155,483.5,488.42800000000005,479.5921666666666
2012-07-17,SIDEWAYS,0.65,0.5,W4_RESTRICT,4,2,3,0.41932059447983017,0.4697452229299363,0.010611676439814572,0.13540160133729096,1821.96,1841.6149999999998,1873.9505,480.61,488.54049999999995,479.23699999999997
2012-07-18,SIDEWAYS,0.55,0.5,W4_RESTRICT,3,4,4,0.3202959830866808,0.39904862579281186,0.010800841154203747,0.0701789423769843,1794.91,1836.1545,1870.9548333333335,472.88,487.95700000000005,478.8256666666667
2012-07-19,SIDEWAYS,0.65,0.5,W4_RESTRICT,4,2,4,0.37599575146043546,0.4487519915029209,0.01148741439527384,0.12229185070143322,1822.96,1832.845,1868.4603333333332,478.68,487.63200000000006,478.55333333333334
2012-07-20,SIDEWAYS,0.55,0.5,W4_RESTRICT,2,4,4,0.38163481953290873,0.4543524416135881,0.01043817327489666,-0.04712905184073879,1822.93,1831.622,1866.1188333333334,481.83,487.46400000000006,478.45683333333335
