variant,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,kospi_ret5,kosdaq_slope
bma20+Qslope,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL,0.029829266894552134,0.014915235614775929
bma20+Qslope,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,0.0582927979674927,0.011477026391175342
bma20+Kret5+Qslope,pre,2012-10-05,126560,현대에이치씨엔,2012-10-15,2012-11-26,0.037883977900552486,MAX,0.007437741108036607,0.009437901219533288
bma20+Kret5+Qslope,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.019034110984362872,0.005337741342443954
bma20+Kret5+Qslope,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL,0.0026044978456937367,0.004216137272333671
bma20+Kret5+Qslope,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.003211475123893165,0.014336378495605338
bma20+Kret5+Qslope,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,0.007079297000172496,0.010601077237220246
bma20+Kret5+Qslope,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.012255153844572863,0.015236052820774379
bma20+Kret5+Qslope,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.004585237209339289,0.034602078332840895
bma20+Kret5+Qslope,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP,0.008659630886288279,0.0060377648953743625
bma20+Kret5+Qslope,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-13,-0.063,EARLY_FAIL,0.007111487934762856,0.009437098066775703
bma20+Kret5+Qslope,pre,2019-04-11,043370,평화정공,2019-04-19,2019-04-23,-0.063,EARLY_FAIL,0.008116816902557342,0.0031623529792126222
bma20+Kret5+Qslope,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP,0.02002365855537792,0.015882420484556244
bma20+Kret5+Qslope,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.014960367200815125,0.022860588712568217
bma20+Kret5+Qslope,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP,0.007873982216468605,0.00452156237090966
