period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,peak_ret,ret20,ret60,ret120,high60_ratio,range20,volume_expansion,candle_location,upper_shadow,ma20_dist,ma60_dist,ma120_dist,ma20_slope5,ma60_slope5
train,2023-01-20,048260,오스템임플란트,2023-01-31,2023-05-11,-0.004072961373390524,MAX,0.020386266094420513,0.21087928464977646,0.56702025072324,0.44830659536541884,0.9981572481572482,0.5144186046511627,2.013937671496435,0.9790209790209791,0.02097902097902098,0.194765090802147,0.34175542894888955,0.36499181004913983,0.02858655373213348,0.028156658554530534
train,2023-05-12,338220,뷰노,2023-05-19,2023-08-29,1.4833523573200995,MAX,1.4913151364764268,0.07983623336745138,0.9429097605893186,2.2262996941896023,0.8978723404255319,0.45330859616573904,1.7808176667612476,0.9817518248175182,0.01824817518248175,0.12219119797899225,0.3117267961124812,0.783676402214802,0.001171427810761072,0.03931598160731409
train,2023-08-30,122640,예스티,2023-09-06,2023-09-07,-0.14900000000000002,EARLY,0.006000000000000005,0.2613521695257315,1.0177562550443908,1.86368843069874,1.0,0.5470297029702971,2.200041296687096,1.0,0.0,0.31745362563237767,0.6013152135620723,0.946787800129786,0.032595091690700295,0.05462672115828471
train,2023-09-13,317870,엔바이오니아,2023-09-20,2024-01-05,-0.15228649835345776,MAX,0.0318331503841931,0.23925974884335766,0.3676148796498906,1.435064935064935,0.9146341463414634,0.3879485443466486,0.5821237717499955,0.7058823529411765,0.047058823529411764,0.05121520477672181,0.1423639317627945,0.31083742120410607,0.05313966876273146,0.028468784593854934
train,2024-01-08,170920,엘티씨,2024-01-15,2024-03-15,-0.01843859649122803,TRAIL,0.4175438596491228,0.21865203761755492,0.7771428571428571,0.5097087378640777,0.8885714285714286,0.38999205718824465,0.26995222273208036,0.9365079365079365,0.06349206349206349,0.03926482873851289,0.4047608293057501,0.5041472871341399,0.049558080808080884,0.053987145917638646
train,2024-03-21,267260,HD현대일렉트릭,2024-03-28,2024-07-10,0.8865027624309393,MAX,0.9033149171270718,0.24693251533742333,0.9242603550295858,1.2837078651685392,0.9993853718500307,0.3858603066439523,1.2556360546811056,0.9915966386554622,0.008403361344537815,0.17545001084363476,0.4502534524535089,0.7096743101982879,0.054465068414834006,0.054338286000877645
train,2024-07-11,071970,STX중공업,2024-07-18,2024-11-01,-0.12705660377358485,MAX,0.17216981132075482,0.1640278657378087,0.4529644268774704,0.4810636583400483,0.9287518948964123,0.25253164556962027,0.34443656691622093,0.9692307692307692,0.03076923076923077,0.04500099496830323,0.13419450386703957,0.3389101019237424,0.03724125729787109,0.02743142144638422
train,2024-11-04,123330,제닉,2024-11-11,2024-11-14,-0.16408374384236457,EARLY,0.01724137931034475,0.4054054054054055,6.278382581648523,5.8023255813953485,0.9176470588235294,0.5398550724637681,0.9849672742121203,1.0,0.0,0.1295616914462252,0.8234476667922126,1.9042317179751054,0.056049754033594246,0.13687303438805798
train,2024-12-16,102940,코오롱생명과학,2024-12-23,2025-04-02,0.19303524229074898,TRAIL,0.7356828193832599,0.4137155705452502,0.3391906283280086,0.2004773269689737,0.971042471042471,0.4715909090909091,1.8933464704664396,0.5833333333333334,0.027777777777777776,0.2904715480527478,0.3200251933237692,0.24062746645619582,0.06045271520296014,0.015320940394880633
train,2025-04-10,041510,에스엠,2025-04-17,2025-07-30,0.13735087719298245,MAX,0.40812557710064645,0.14882226980728053,0.5710102489019033,0.5919881305637982,0.9147485080988917,0.3018867924528302,1.6187792957045446,0.5394736842105263,0.07894736842105263,0.03272377285851791,0.13579027221565543,0.2647584621731529,0.0368226723879852,0.03678299678080199
post,2025-08-05,249420,일동제약,2025-08-12,2025-10-14,0.14917391304347827,TRAIL,0.6763285024154588,0.15429573348918768,0.7084775086505191,0.7279090113735782,0.8298319327731093,0.41582391433670435,0.3563940737092394,0.5625,0.0,-0.03517342452369321,0.29453020024251964,0.4836888134871695,0.054122251403264876,0.042918014856674125
post,2025-10-15,219130,타이거일렉,2025-10-22,2025-11-21,-0.3524736842105263,STOP,0.023157894736842044,0.4756756756756757,1.0073529411764706,1.3905429071803854,0.9446366782006921,0.5454545454545454,0.47541390519449767,0.926829268292683,0.07317073170731707,0.11249210456610781,0.3960504896404189,0.6647864133914687,0.10005603496581861,0.06403373537680257
post,2025-11-26,007660,이수페타시스,2025-12-03,2026-05-20,-0.12438728323699422,MAX,0.13150289017341033,0.3111111111111111,1.1684532924961717,2.6875,0.9554655870445344,0.5,1.5287519289901,0.6370370370370371,0.0,0.17872305002913502,0.5518091654642094,0.9326220968585792,0.08011149073907564,0.06929552157184427
