variant,tier,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,rel_ret60
no_regime,bull,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.3979424828413718
no_regime,mixed,pre,2021-05-27,011420,갤럭시아에스엠,2021-06-04,2021-06-07,-0.063,EARLY_FAIL,0.6357133908211975
no_regime,bull,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL,0.909580039110724
no_regime,bear,pre,2022-01-11,009810,플레이그램,2022-01-19,2022-01-25,-0.123,STOP,0.26637460587757916
no_regime,bear,pre,2022-02-18,215100,로보로보,2022-02-28,2022-03-30,-0.01247867298578199,TRAIL,1.5034684903580615
no_regime,bear,pre,2022-04-12,039610,화성밸브,2022-04-20,2022-05-12,-0.123,STOP,0.35915363810026973
no_regime,bear,train,2022-05-25,306620,네온테크,2022-06-03,2022-06-13,-0.123,STOP,0.5431046818880713
no_regime,bear,train,2022-08-23,001570,금양,2022-08-31,2022-09-20,0.4461525423728814,TRAIL,1.3601534029264033
no_regime,bull,train,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX,0.595755529705043
no_regime,mixed,train,2023-02-23,272290,이녹스첨단소재,2023-03-06,2023-03-09,-0.063,EARLY_FAIL,0.34522712297906377
no_regime,mixed,train,2023-03-17,234920,자이글,2023-03-27,2023-04-04,1.1541428571428574,TRAIL,0.29890407929321705
no_regime,mixed,train,2023-04-28,106080,하이소닉,2023-05-10,2023-06-02,-0.123,STOP,13.513704055329653
no_regime,bull,train,2023-06-15,085620,미래에셋생명,2023-06-23,2023-08-04,0.020545706371191137,MAX,0.22281642542147495
no_regime,mixed,train,2024-02-07,000540,흥국화재,2024-02-19,2024-02-22,-0.063,EARLY_FAIL,0.33896084869695153
no_regime,bull,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX,0.3272327006537795
no_regime,bear,train,2024-12-05,230240,에치에프알,2024-12-13,2025-02-24,0.4402989690721649,TRAIL,0.6744850558966463
no_regime,mixed,train,2025-03-04,098120,마이크로컨텍솔,2025-03-12,2025-05-30,0.6379395973154363,TRAIL,0.8881730398504256
no_regime,bull,train,2025-07-01,037270,YG PLUS,2025-07-09,2025-07-18,-0.123,STOP,0.5261153680442144
no_regime,mixed,post,2025-08-20,092460,한라IMS,2025-08-28,2025-09-22,0.21835007849293564,TRAIL,0.05003710139581116
no_regime,bull,post,2025-09-24,036010,아비코전자,2025-10-02,2025-10-14,-0.063,EARLY_FAIL,0.5665013136057774
no_regime,bull,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,1.368497999617459
no_regime_t,bear,pre,2012-04-19,013810,스페코,2012-04-27,2012-05-02,-0.053000000000000005,EARLY_FAIL,0.41554938393206503
no_regime_t,bear,pre,2012-05-18,004920,삼영홀딩스,2012-05-29,2012-06-13,0.00019488817891373782,TRAIL,1.4746547138259583
no_regime_t,bull,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.2796015899375021
no_regime_t,mixed,pre,2012-10-12,064550,바이오니아,2012-10-22,2012-11-16,-0.123,STOP,0.6741733425439157
no_regime_t,bull,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL,0.6817603145796336
no_regime_t,bear,pre,2013-05-14,000320,노루홀딩스,2013-05-23,2013-06-05,-0.10300000000000001,STOP,0.4543210904226256
no_regime_t,bull,pre,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.524114510503124
